Ticker,base_id,ticker_no,exchange_id,reference_id,source_no,pair_id,Name,Description,Refreshed,start,end,exchange
ICE_ISM1,556,1062,10,257,5,652,"Soybean Meal futures, Continuous Contract","Historical Futures Prices: Soybean Meal futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",6/11/2018 23:26,5/11/2012,6/8/2018,ICE
ICE_KC1,557,1063,10,257,5,653,"Coffee C Futures, Continuous Contract","Historical Futures Prices: Coffee C Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,8/20/1973,7/15/2019,ICE
ICE_M1,558,1064,10,257,5,654,"UK Natural Gas Futures, Continuous Contract","Historical Futures Prices: UK Natural Gas Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,1/31/1997,7/15/2019,ICE
ICE_NCF1,559,1065,10,257,5,655,"Newcastle Coal Futures, Continuous Contract","Historical Futures Prices: Newcastle Coal Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,12/5/2008,7/15/2019,ICE
ICE_OJ1,560,1066,10,257,5,656,"Orange Juice Futures, Continuous Contract","Historical Futures Prices: Orange Juice Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,2/1/1967,7/15/2019,ICE
ICE_SB1,561,1067,10,257,5,657,"Sugar No. 11 Futures, Continuous Contract","Historical Futures Prices: Sugar No. 11 Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,1/4/1961,7/15/2019,ICE
ICE_SF1,562,1068,10,257,5,658,"Sugar No. 16 Futures, Continuous Contract","Historical Futures Prices: Sugar No. 16 Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,10/10/2008,7/15/2019,ICE
LIFFE_C1,563,1069,19,257,5,659,"Cocoa Futures, Continuous Contract #1 (C1) (Front Month)","Historical Futures Prices: Cocoa Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from LIFFE.",7/16/2019 05:27,9/1/1993,7/15/2019,LIFFE
LIFFE_EBM1,564,1070,19,257,5,660,"Milling Wheat Futures, Continuous Contract #1 (EBM1) (Front Month)","Historical Futures Prices: Milling Wheat Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from LIFFE.",7/16/2019 05:27,10/8/2013,7/15/2019,LIFFE
LIFFE_EMA1,565,1071,19,257,5,661,"Corn Futures, Continuous Contract #1 (EMA1) (Front Month)","Historical Futures Prices: Corn Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from LIFFE.",7/16/2019 05:27,10/8/2013,7/15/2019,LIFFE
