code,base_id,reference_asset_id,name,description,refreshed_at,from_date,to_date
CME_V39,3527,523,"PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW Futures, Continuous Contract #9 (V39)","Historical Futures Prices: PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW Futures, Continuous Contract #9. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_VM1,3528,523,"PJM AEP Dayton Hub Real-Time Peak Calendar-Month 2.5 MW Futures, Continuous Contract #1 (VM1) (Front Month)","Historical Futures Prices: PJM AEP Dayton Hub Real-Time Peak Calendar-Month 2.5 MW Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",12/31/2017 03:26,2/18/2014,12/29/2017
CME_VM2,3529,523,"PJM AEP Dayton Hub Real-Time Peak Calendar-Month 2.5 MW Futures, Continuous Contract #2 (VM2)","Historical Futures Prices: PJM AEP Dayton Hub Real-Time Peak Calendar-Month 2.5 MW Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",12/4/2017 03:26,2/18/2014,12/1/2017
CME_VP1,3530,523,"PJM AEP Dayton Hub Off-Peak LMP Futures, Continuous Contract #1 (VP1) (Front Month)","Historical Futures Prices: PJM AEP Dayton Hub Off-Peak LMP Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",12/31/2017 03:26,2/18/2014,12/29/2017
CME_VP2,3531,523,"PJM AEP Dayton Hub Off-Peak LMP Futures, Continuous Contract #2 (VP2)","Historical Futures Prices: PJM AEP Dayton Hub Off-Peak LMP Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",12/17/2017 03:26,2/18/2014,12/15/2017
CME_VR1,3532,523,"NY 1% Fuel Oil (Platts) vs. Gulf Coast 3% Fuel Oil (Platts) Futures, Continuous Contract #1 (VR1) (Front Month)","Historical Futures Prices: NY 1% Fuel Oil (Platts) vs. Gulf Coast 3% Fuel Oil (Platts) Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_VR2,3533,523,"NY 1% Fuel Oil (Platts) vs. Gulf Coast 3% Fuel Oil (Platts) Futures, Continuous Contract #2 (VR2)","Historical Futures Prices: NY 1% Fuel Oil (Platts) vs. Gulf Coast 3% Fuel Oil (Platts) Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W1,3534,523,"Wheat Futures, Continuous Contract #1 (W1) (Front Month)","Historical Futures Prices: Wheat Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,7/1/1959,7/15/2019
CME_W2,3535,523,"Wheat Futures, Continuous Contract #2 (W2)","Historical Futures Prices: Wheat Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,7/1/1959,7/15/2019
CME_W3,3536,523,"Wheat Futures, Continuous Contract #3 (W3)","Historical Futures Prices: Wheat Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,7/1/1959,7/15/2019
CME_W4,3537,523,"Wheat Futures, Continuous Contract #4 (W4)","Historical Futures Prices: Wheat Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,7/1/1959,7/15/2019
CME_W41,3538,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #1 (W41) (Front Month)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W410,3539,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #10 (W410)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #10. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W411,3540,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #11 (W411)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #11. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W412,3541,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #12 (W412)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #12. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W413,3542,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #13 (W413)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #13. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W414,3543,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #14 (W414)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #14. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W415,3544,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #15 (W415)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #15. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W416,3545,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #16 (W416)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #16. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W417,3546,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #17 (W417)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #17. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W418,3547,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #18 (W418)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #18. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W419,3548,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #19 (W419)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #19. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/9/2019 23:28,2/18/2014,7/8/2019
CME_W42,3549,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #2 (W42)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W420,3550,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #20 (W420)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #20. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",6/10/2019 23:28,2/18/2014,6/10/2019
CME_W421,3551,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #21 (W421)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #21. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",5/8/2019 23:31,2/18/2014,5/8/2019
